CASE,POPULATION13,BCPUBLICSERVICE13,COMPLETED13,OVERALLSCOPE13,POPULATION15,BCPUBLICSERVICE15,COMPLETED15,OVERALLSCOPE15,FRINGE_FLAG13,ORGID13,ORGANIZATION13,Engagement_13,Commitment_13,Job_Satisfaction_13,Org_Satisfaction_13,ENG_STATE_13,FRINGE_FLAG15,ORGID15,ORGANIZATION15,Engagement_15,Commitment_15,Job_Satisfaction_15,Org_Satisfaction_15,ENG_STATE_15
2415,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,20.83333333,37.5,0,25,Disengaged,Core (not fringe),LOON,,29.16666667,12.5,50,25,Disengaged
2416,In,In,Yes,In Scope,In,In,No,Not In Scope,Core (not fringe),HERON,,25,25,25,25,Disengaged,Core (not fringe),LOON,,NA,NA,NA,NA,NA
2417,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,75,75,75,75,Engaged,Core (not fringe),LOON,,66.66666667,75,75,50,Moderately Engaged
2421,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),RAVEN,,100,100,100,100,Engaged,Core (not fringe),HERON,,100,100,100,100,Engaged
2422,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),JAY,,33.33333333,50,0,50,Minimally Engaged,NA,,,NA,NA,NA,NA,NA
2424,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,75,75,75,75,Engaged,Core (not fringe),JAY,,58.33333333,75,50,50,Unhappily Dedicated
2430,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,45.83333333,37.5,50,50,Minimally Engaged,Core (not fringe),HERON,,41.66666667,50,25,50,Minimally Engaged
2431,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),RAVEN,,66.66666667,75,50,75,Moderately Engaged,Core (not fringe),HERON,,83.33333333,75,100,75,Engaged
2437,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),JAY,,41.66666667,25,25,75,Minimally Engaged,NA,,,NA,NA,NA,NA,NA
2439,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,83.33333333,75,100,75,Engaged,Core (not fringe),LOON,,NA,NA,75,75,NA
2442,In,In,Yes,In Scope,In,In,No,Not In Scope,Core (not fringe),LOON,,66.66666667,75,75,50,Moderately Engaged,Core (not fringe),LOON,,NA,NA,NA,NA,NA
2449,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),RAVEN,,0,0,0,0,Disengaged,Core (not fringe),LOON,,16.66666667,25,25,0,Disengaged
2450,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,83.33333333,75,100,75,Engaged,Core (not fringe),JAY,,75,75,75,75,Engaged
2454,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,45.83333333,62.5,25,50,Unhappily Dedicated,Core (not fringe),LOON,,100,100,100,100,Engaged
2458,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,83.33333333,100,100,50,Engaged,Core (not fringe),LOON,,50,100,25,25,Unhappily Dedicated
2461,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),RAVEN,,70.83333333,62.5,75,75,Moderately Engaged,NA,,,NA,NA,NA,NA,NA
2463,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),JAY,,75,75,75,75,Engaged,NA,,,NA,NA,NA,NA,NA
2465,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,29.16666667,37.5,25,25,Disengaged,Core (not fringe),LOON,,70.83333333,87.5,75,50,Moderately Engaged
2467,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,50,50,25,75,Minimally Engaged,Core (not fringe),RAVEN,,70.83333333,87.5,50,75,Moderately Engaged
2470,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),RAVEN,,25,50,0,25,Minimally Engaged,Core (not fringe),RAVEN,,50,75,25,50,Unhappily Dedicated
2471,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,50,50,75,25,Minimally Engaged,Core (not fringe),LOON,,29.16666667,37.5,50,0,Disengaged
2472,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,66.66666667,75,50,75,Moderately Engaged,Core (not fringe),JAY,,25,25,25,25,Disengaged
2474,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,70.83333333,87.5,50,75,Moderately Engaged,Core (not fringe),RAVEN,,62.5,87.5,50,50,Unhappily Dedicated
2477,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),RAVEN,,50,50,50,50,Minimally Engaged,NA,,,NA,NA,NA,NA,NA
2480,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,91.66666667,100,100,75,Engaged,Core (not fringe),HERON,,83.33333333,100,100,50,Engaged
2482,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),HERON,,37.5,37.5,50,25,Disengaged,NA,,,NA,NA,NA,NA,NA
2486,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,NA,NA,100,100,NA,Core (not fringe),LOON,,83.33333333,75,100,75,Engaged
2488,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),RAVEN,,54.16666667,62.5,50,50,Unhappily Dedicated,NA,,,NA,NA,NA,NA,NA
2492,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,54.16666667,87.5,0,75,Unhappily Dedicated,Core (not fringe),RAVEN,,20.83333333,37.5,25,0,Disengaged
2495,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,83.33333333,100,100,50,Engaged,Core (not fringe),HERON,,45.83333333,62.5,50,25,Unhappily Dedicated
2497,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,91.66666667,100,100,75,Engaged,Core (not fringe),RAVEN,,100,100,100,100,Engaged
2500,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),RAVEN,,79.16666667,87.5,75,75,Engaged,NA,,,NA,NA,NA,NA,NA
2503,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,79.16666667,87.5,75,75,Engaged,Core (not fringe),RAVEN,,75,75,75,75,Engaged
2508,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),HERON,,NA,NA,75,50,NA,NA,,,NA,NA,NA,NA,NA
2509,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),LOON,,66.66666667,75,75,50,Moderately Engaged,NA,,,NA,NA,NA,NA,NA
2516,In,In,Yes,In Scope,In,In,No,Not In Scope,Core (not fringe),RAVEN,,NA,NA,50,50,NA,Core (not fringe),LOON,,NA,NA,NA,NA,NA
2520,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,33.33333333,75,0,25,Unhappily Dedicated,Core (not fringe),RAVEN,,100,100,100,100,Engaged
2521,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,91.66666667,100,75,100,Engaged,Core (not fringe),HERON,,12.5,37.5,0,0,Disengaged
2522,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),LOON,,54.16666667,62.5,50,50,Unhappily Dedicated,NA,,,NA,NA,NA,NA,NA
2524,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),RAVEN,,91.66666667,100,75,100,Engaged,Core (not fringe),LOON,,62.5,62.5,75,50,Moderately Engaged
2525,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),JAY,,12.5,12.5,0,25,Disengaged,NA,,,NA,NA,NA,NA,NA
2527,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,45.83333333,37.5,50,50,Minimally Engaged,Core (not fringe),LOON,,41.66666667,25,50,50,Minimally Engaged
2529,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,100,100,100,100,Engaged,Core (not fringe),HERON,,70.83333333,87.5,50,75,Moderately Engaged
2530,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),RAVEN,,50,75,75,0,Unhappily Dedicated,Core (not fringe),LOON,,20.83333333,37.5,25,0,Disengaged
2531,In,In,Yes,In Scope,In,In,No,Not In Scope,Core (not fringe),JAY,,NA,NA,50,50,NA,Core (not fringe),JAY,,NA,NA,NA,NA,NA
2535,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),HERON,,79.16666667,62.5,75,100,Moderately Engaged,NA,,,NA,NA,NA,NA,NA
2538,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,75,75,75,75,Engaged,Core (not fringe),LOON,,70.83333333,62.5,75,75,Moderately Engaged
2539,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),RAVEN,,83.33333333,75,100,75,Engaged,NA,,,NA,NA,NA,NA,NA
2540,In,In,Yes,In Scope,In,In,No,Not In Scope,Core (not fringe),JAY,,87.5,87.5,100,75,Engaged,Core (not fringe),RAVEN,,NA,NA,NA,NA,NA
2542,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),HERON,,87.5,87.5,100,75,Engaged,NA,,,NA,NA,NA,NA,NA
2544,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),LOON,,70.83333333,62.5,75,75,Moderately Engaged,NA,,,NA,NA,NA,NA,NA
2545,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),RAVEN,,79.16666667,62.5,100,75,Moderately Engaged,Core (not fringe),LOON,,83.33333333,75,75,100,Engaged
2547,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,79.16666667,87.5,75,75,Engaged,Core (not fringe),HERON,,75,75,75,75,Engaged
2550,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,54.16666667,62.5,50,50,Unhappily Dedicated,Core (not fringe),HERON,,NA,75,75,NA,NA
2551,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,75,75,50,100,Engaged,Core (not fringe),RAVEN,,33.33333333,25,25,50,Disengaged
2554,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),RAVEN,,91.66666667,100,100,75,Engaged,Core (not fringe),HERON,,62.5,62.5,75,50,Moderately Engaged
2556,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),JAY,,100,100,100,100,Engaged,NA,,,NA,NA,NA,NA,NA
2558,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,100,100,100,100,Engaged,Core (not fringe),LOON,,100,100,100,100,Engaged
2559,In,In,Yes,In Scope,In,In,No,Not In Scope,Core (not fringe),LOON,,62.5,62.5,50,75,Moderately Engaged,Core (not fringe),HERON,,NA,NA,NA,NA,NA
2562,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),RAVEN,,75,75,75,75,Engaged,NA,,,NA,NA,NA,NA,NA
2564,In,In,Yes,In Scope,In,In,No,Not In Scope,Core (not fringe),JAY,,25,50,0,25,Minimally Engaged,Core (not fringe),HERON,,NA,NA,NA,NA,NA
2566,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),HERON,,58.33333333,50,75,50,Happily Detached,NA,,,NA,NA,NA,NA,NA
2569,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,0,0,0,0,Disengaged,Core (not fringe),LOON,,8.333333333,25,0,0,Disengaged
2570,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),RAVEN,,8.333333333,25,0,0,Disengaged,Core (not fringe),HERON,,25,25,25,25,Disengaged
2572,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,62.5,62.5,50,75,Moderately Engaged,Core (not fringe),HERON,,66.66666667,75,75,50,Moderately Engaged
2573,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,66.66666667,75,75,50,Moderately Engaged,Core (not fringe),HERON,,91.66666667,100,75,100,Engaged
2576,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,79.16666667,87.5,75,75,Engaged,Core (not fringe),HERON,,83.33333333,100,75,75,Engaged
2577,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),RAVEN,,12.5,37.5,0,0,Disengaged,NA,,,NA,NA,NA,NA,NA
2578,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),JAY,,66.66666667,50,100,50,Happily Detached,NA,,,NA,NA,NA,NA,NA
2581,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,62.5,62.5,75,50,Moderately Engaged,Core (not fringe),LOON,,54.16666667,37.5,75,50,Happily Detached
2584,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),LOON,,37.5,37.5,25,50,Disengaged,NA,,,NA,NA,NA,NA,NA
2586,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),RAVEN,,87.5,87.5,75,100,Engaged,NA,,,NA,NA,NA,NA,NA
2587,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,45.83333333,62.5,25,50,Unhappily Dedicated,Core (not fringe),HERON,,75,75,75,75,Engaged
2588,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),HERON,,33.33333333,25,50,25,Disengaged,NA,,,NA,NA,NA,NA,NA
2592,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,100,100,100,100,Engaged,Core (not fringe),HERON,,75,75,75,75,Engaged
2593,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),RAVEN,,33.33333333,50,25,25,Minimally Engaged,NA,,,NA,NA,NA,NA,NA
2594,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),JAY,,91.66666667,100,75,100,Engaged,NA,,,NA,NA,NA,NA,NA
2595,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,83.33333333,100,75,75,Engaged,Core (not fringe),HERON,,75,100,75,50,Moderately Engaged
2596,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),LOON,,NA,NA,50,25,NA,NA,,,NA,NA,NA,NA,NA
2598,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),RAVEN,,79.16666667,62.5,100,75,Moderately Engaged,Core (not fringe),LOON,,75,75,75,75,Engaged
2599,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),JAY,,45.83333333,62.5,25,50,Unhappily Dedicated,NA,,,NA,NA,NA,NA,NA
2603,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,58.33333333,75,25,75,Unhappily Dedicated,Core (not fringe),LOON,,41.66666667,50,75,0,Minimally Engaged
2604,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,70.83333333,62.5,75,75,Moderately Engaged,Core (not fringe),RAVEN,,25,25,25,25,Disengaged
2613,In,In,Yes,In Scope,In,In,No,Not In Scope,Core (not fringe),RAVEN,,100,100,100,100,Engaged,Core (not fringe),HERON,,NA,NA,NA,NA,NA
2615,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),JAY,,91.66666667,100,75,100,Engaged,NA,,,NA,NA,NA,NA,NA
2618,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,87.5,87.5,100,75,Engaged,Core (not fringe),RAVEN,,79.16666667,87.5,75,75,Engaged
2620,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),LOON,,45.83333333,37.5,50,50,Minimally Engaged,NA,,,NA,NA,NA,NA,NA
2623,In,In,Yes,In Scope,In,In,No,Not In Scope,Core (not fringe),RAVEN,,66.66666667,50,75,75,Happily Detached,Core (not fringe),LOON,,NA,NA,NA,NA,NA
2624,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),JAY,,75,75,75,75,Engaged,NA,,,NA,NA,NA,NA,NA
2625,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),HERON,,100,100,100,100,Engaged,NA,,,NA,NA,NA,NA,NA
2626,In,In,Yes,In Scope,In,In,No,Not In Scope,Core (not fringe),LOON,,100,100,100,100,Engaged,Core (not fringe),LOON,,NA,NA,NA,NA,NA
2628,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),RAVEN,,62.5,62.5,75,50,Moderately Engaged,Core (not fringe),HERON,,58.33333333,50,75,50,Happily Detached
2629,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),JAY,,87.5,87.5,100,75,Engaged,NA,,,NA,NA,NA,NA,NA
2633,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),HERON,,41.66666667,25,25,75,Minimally Engaged,NA,,,NA,NA,NA,NA,NA
2634,In,In,Yes,In Scope,In,In,No,Not In Scope,Core (not fringe),LOON,,79.16666667,87.5,75,75,Engaged,Core (not fringe),LOON,,NA,NA,NA,NA,NA
2638,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),RAVEN,,50,50,50,50,Minimally Engaged,NA,,,NA,NA,NA,NA,NA
2641,In,In,Yes,In Scope,In,In,No,Not In Scope,Core (not fringe),JAY,,66.66666667,50,75,75,Happily Detached,Core (not fringe),LOON,,NA,NA,NA,NA,NA
2643,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,75,75,75,75,Engaged,Core (not fringe),LOON,,75,75,75,75,Engaged
2644,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),LOON,,75,75,75,75,Engaged,NA,,,NA,NA,NA,NA,NA
2647,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),RAVEN,,NA,NA,50,50,NA,NA,,,NA,NA,NA,NA,NA
2649,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,NA,NA,75,75,NA,Core (not fringe),LOON,,79.16666667,87.5,75,75,Engaged
2651,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,70.83333333,62.5,75,75,Moderately Engaged,Core (not fringe),LOON,,70.83333333,62.5,75,75,Moderately Engaged
2654,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,100,100,100,100,Engaged,Core (not fringe),HERON,,100,100,100,100,Engaged
2657,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),RAVEN,,79.16666667,87.5,75,75,Engaged,Core (not fringe),LOON,,83.33333333,75,75,100,Engaged
4,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,100,100,100,100,Engaged,Core (not fringe),LOON,,62.5,87.5,75,25,Unhappily Dedicated
6,In,In,Yes,In Scope,In,In,No,Not In Scope,Core (not fringe),LOON,,75,75,75,75,Engaged,Core (not fringe),LOON,,NA,NA,NA,NA,NA
9,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,58.33333333,75,100,0,Unhappily Dedicated,Core (not fringe),LOON,,75,100,75,50,Moderately Engaged
11,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,70.83333333,62.5,75,75,Moderately Engaged,Core (not fringe),LOON,,75,75,75,75,Engaged
13,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,58.33333333,75,75,25,Unhappily Dedicated,Core (not fringe),LOON,,87.5,87.5,100,75,Engaged
15,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,100,100,100,100,Engaged,Core (not fringe),LOON,,100,100,100,100,Engaged
17,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,58.33333333,75,25,75,Unhappily Dedicated,Core (not fringe),LOON,,58.33333333,50,75,50,Happily Detached
22,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,100,100,100,100,Engaged,Core (not fringe),LOON,,91.66666667,100,100,75,Engaged
26,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,75,75,75,75,Engaged,Core (not fringe),LOON,,75,75,75,75,Engaged
28,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,41.66666667,50,75,0,Minimally Engaged,Core (not fringe),LOON,,50,50,75,25,Minimally Engaged
29,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,75,75,75,75,Engaged,Core (not fringe),LOON,,91.66666667,100,75,100,Engaged
30,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,91.66666667,100,75,100,Engaged,Core (not fringe),LOON,,79.16666667,62.5,75,100,Moderately Engaged
34,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,75,75,75,75,Engaged,Core (not fringe),LOON,,100,100,100,100,Engaged
35,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,41.66666667,25,50,50,Minimally Engaged,Core (not fringe),LOON,,33.33333333,25,25,50,Disengaged
36,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,66.66666667,75,75,50,Moderately Engaged,Core (not fringe),LOON,,66.66666667,75,75,50,Moderately Engaged
37,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,NA,NA,75,75,NA,Core (not fringe),LOON,,79.16666667,87.5,75,75,Engaged
38,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,NA,NA,25,0,NA,Core (not fringe),LOON,,NA,NA,0,0,NA
40,In,In,Yes,In Scope,In,In,No,Not In Scope,Core (not fringe),LOON,,100,100,100,100,Engaged,Core (not fringe),LOON,,NA,NA,NA,NA,NA
41,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,33.33333333,50,50,0,Minimally Engaged,Core (not fringe),LOON,,41.66666667,50,50,25,Minimally Engaged
42,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,20.83333333,37.5,25,0,Disengaged,Core (not fringe),LOON,,41.66666667,50,75,0,Minimally Engaged
44,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,75,75,75,75,Engaged,Core (not fringe),LOON,,75,75,75,75,Engaged
45,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,66.66666667,75,75,50,Moderately Engaged,Core (not fringe),LOON,,75,75,75,75,Engaged
46,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,66.66666667,75,75,50,Moderately Engaged,Core (not fringe),LOON,,66.66666667,75,75,50,Moderately Engaged
47,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,95.83333333,87.5,100,100,Engaged,Core (not fringe),LOON,,91.66666667,75,100,100,Engaged
48,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,41.66666667,50,25,50,Minimally Engaged,Core (not fringe),LOON,,75,75,75,75,Engaged
49,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,91.66666667,100,100,75,Engaged,Core (not fringe),LOON,,83.33333333,100,75,75,Engaged
50,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,50,50,50,50,Minimally Engaged,Core (not fringe),LOON,,37.5,37.5,50,25,Disengaged
52,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,75,75,75,75,Engaged,Core (not fringe),LOON,,91.66666667,100,100,75,Engaged
53,In,In,Yes,In Scope,In,In,No,Not In Scope,Core (not fringe),LOON,,37.5,37.5,75,0,Disengaged,Core (not fringe),LOON,,NA,NA,NA,NA,NA
54,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,NA,NA,0,NA,NA,Core (not fringe),LOON,,33.33333333,100,0,0,Unhappily Dedicated
56,In,In,Yes,In Scope,In,In,No,Not In Scope,Core (not fringe),LOON,,50,50,50,50,Minimally Engaged,Core (not fringe),LOON,,NA,NA,NA,NA,NA
57,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,62.5,62.5,75,50,Moderately Engaged,Core (not fringe),LOON,,66.66666667,75,50,75,Moderately Engaged
58,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,75,75,75,75,Engaged,Core (not fringe),LOON,,75,75,75,75,Engaged
59,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,75,75,75,75,Engaged,Core (not fringe),LOON,,75,75,75,75,Engaged
61,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,58.33333333,50,50,75,Happily Detached,Core (not fringe),LOON,,33.33333333,25,0,75,Disengaged
65,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,100,100,100,100,Engaged,Core (not fringe),LOON,,45.83333333,62.5,75,0,Unhappily Dedicated
67,In,In,Yes,In Scope,In,In,No,Not In Scope,Core (not fringe),LOON,,87.5,87.5,100,75,Engaged,Core (not fringe),LOON,,NA,NA,NA,NA,NA
69,In,In,Yes,In Scope,In,In,No,Not In Scope,Core (not fringe),LOON,,66.66666667,75,50,75,Moderately Engaged,Core (not fringe),LOON,,NA,NA,NA,NA,NA
75,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,75,75,75,75,Engaged,Core (not fringe),LOON,,75,75,75,75,Engaged
76,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,66.66666667,75,75,50,Moderately Engaged,Core (not fringe),LOON,,66.66666667,75,50,75,Moderately Engaged
77,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,79.16666667,87.5,75,75,Engaged,Core (not fringe),LOON,,58.33333333,75,50,50,Unhappily Dedicated
78,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,79.16666667,87.5,75,75,Engaged,Core (not fringe),LOON,,70.83333333,62.5,75,75,Moderately Engaged
83,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,66.66666667,75,50,75,Moderately Engaged,Core (not fringe),LOON,,66.66666667,75,50,75,Moderately Engaged
84,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,91.66666667,100,100,75,Engaged,Core (not fringe),LOON,,100,100,100,100,Engaged
85,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,0,0,0,0,Disengaged,Core (not fringe),LOON,,33.33333333,25,50,25,Disengaged
87,In,In,Yes,In Scope,In,In,No,Not In Scope,Core (not fringe),LOON,,75,100,75,50,Moderately Engaged,Core (not fringe),LOON,,NA,NA,NA,NA,NA
90,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,100,100,100,100,Engaged,Core (not fringe),LOON,,54.16666667,62.5,50,50,Unhappily Dedicated
91,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,87.5,87.5,100,75,Engaged,Core (not fringe),LOON,,87.5,87.5,100,75,Engaged
92,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,75,75,75,75,Engaged,Core (not fringe),LOON,,75,75,75,75,Engaged
94,In,In,Yes,In Scope,In,In,No,Not In Scope,Core (not fringe),LOON,,16.66666667,25,25,0,Disengaged,Core (not fringe),LOON,,NA,NA,NA,NA,NA
